PREGUNTA,RESPUESTA,
¿Cuáles son las funciones de la Coordinadora de Prácticas y Egresados en gestión académica?,- Apoyar en la aprobación y revisión de expedientes de grado conforme a la vertical académica del estudiante. - Apoyar en los estudios de homologación y el diligenciamiento de la respectiva documentación para su formalización ante la secretaria de la institución. - Generar y tramitar recibos para las competencias certificables de los programas que pertenecen a la unidad académica. - Apoyar la gestión de programación académica correspondiente a la oferta (cronograma y asignación docente de acuerdo con la directriz de la dirección). - Gestionar la entrega y satisfacción total de la oferta de educación continuada. - Gestionar el cumplimiento de cronograma para las ofertas académicas de educación continuada. - Gestionar la base y repositorio de indicadores para la evaluación de desempeño de los docentes de educación continuada.,
¿Quién es la Coordinadora Académica?,"Las coordinadoras academicas son: 1. Yasmín Vargas
2. Liliana Castro
3. Heyly Castelblanco",
¿Cuál es la función de la Coordinadora Académica Yasmín Vargas en el Programa de Talentos Matemáticos?,"Coordinar el Programa de Talentos Matemáticos: oferta, admisiones, presupuesto, contrataciones, cargue de cursos, asignación de espacios, matrícula, bienvenida, clausura y atención de las solicitudes que lleguen y las comunicaciones derivadas del manejo del mismo.",
¿Qué debe hacer la Coordinadora Académica Yasmín Vargas respecto a la divulgación de cursos y coloquios?,"Solicitar piezas para la divulgación de los cursos ofertados, coloquios del programa de matemática y enviar correos masivos a base de colegios (interna).",
¿Cuál es la función de la Coordinadora Académica Yasmín Vargas en la feria de proyectos?,Realizar la feria de proyectos con los stands para cada curso y realizar la clausura con la entrega de los certificados a cada estudiante.,
¿Cómo realiza la Coordinadora Académica Yasmín Vargas el seguimiento a estudiantes en ECEI?,"Seguimiento a los interesados, matriculados y desertados de la ECEI.",
¿Qué evento apoya la Coordinadora Académica Yasmín Vargas con los colegios?,"Apoyo en la organización del Encuentro Juvenil de Matemáticas (EJM), evento externo con el Colegio Próspero Pinzón y el Abraham Bilingual School.",
¿Cuál es la función de la Coordinadora Académica Yasmín Vargas respecto a las visitas de profesores a colegios?,Coordinar las visitas de los profesores a colegios y la logística de transporte y horarios de la salida.,
¿Qué funciones tiene la Coordinadora Académica Yasmín Vargas en la preparación del presupuesto?,Preparación y revisión del presupuesto administrativo.,
¿Qué coordina la Coordinadora Académica Yasmín Vargas en la bienvenida a estudiantes?,"Coordinar los aspectos logísticos de la bienvenida a los estudiantes de programas académicos y la elaboración de eventos académicos de promoción (lugar, carpeta, horarios, instrucciones, presentes, etc.).",
¿Cómo maneja la Coordinadora Académica Yasmín Vargas los procesos de investigación?,Recibir y dar trámite a la información necesaria para la legalización de los procesos de investigación con actores internos y externos a la ECEI.,
¿Qué coordina la Coordinadora Académica Yasmín Vargas en los semilleros de investigación y trabajos de grado?,Coordinar la sustentación de semilleros de investigación y trabajos de grado. Gestionar el respectivo cargue a la vertical académica.,
¿Cómo asigna la Coordinadora Académica Yasmín Vargas los jurados y asesores de trabajo de grado?,Asignar los jurados y asesores de trabajo de grado según las instrucciones de la Dirección.,
¿Qué gestiona la Coordinadora Académica Yasmín Vargas en las salidas académicas?,Gestionar transporte y necesidades logísticas como activación de seguros académicos y autorización de ingreso por parte de seguridad para las salidas académicas.,
¿Qué requerimientos logísticos maneja la Coordinadora Académica Yasmín Vargas para eventos académicos?,"Gestionar requerimientos logísticos para soporte de salones de posgrados y reserva de espacio, solicitud de estación de café, premios y/o refrigerios para eventos académicos.",
¿Cómo tramita la Coordinadora Académica Yasmín Vargas cuentas y adquisiciones en la ECEI?,"Tramitar cuentas de cobro, compras, mantenimiento, viajes y/o adquisiciones de solicitudes requeridas en la ECEI para pregrados y posgrados.",
¿Qué informes realiza la Coordinadora Académica Yasmín Vargas para la institución?,Realizar informes de investigación para procesos internos y externos de la institución.,
¿Cómo gestiona la Coordinadora Académica Yasmín Vargas la reserva de papelería y material de grado?,Gestionar y asegurar la reserva de papelería y material de grado para la Escuela.,
¿Cómo asegura la Coordinadora Académica Yasmín Vargas el buen estado de las instalaciones?,Asegurar y velar por el buen estado de las instalaciones de la Escuela.,
¿Qué controla la Coordinadora Académica Yasmín Vargas respecto a los puestos de trabajo?,"Asignar y controlar puestos de trabajo de docentes y administrativos, asegurando que cuenten con todos los requerimientos.",
¿Cómo maneja la Coordinadora Académica Yasmín Vargas la comunicación con organizaciones externas?,Gestionar los canales de comunicación con las organizaciones externas para asuntos operativos de investigación.,
¿Qué informes de ejecución realiza la Coordinadora Académica Yasmín Vargas?,"Realizar y gestionar informes de ejecución, saldos presupuestales y caja menor.",
¿Cuál es la función de la Coordinadora Académica Liliana Castro en el seguimiento y acompañamiento a estudiantes?,Realizar el seguimiento y acompañamiento a estudiantes en su calidad de psicóloga.,
¿Qué seguimiento realiza la Coordinadora Académica Liliana Castro en normativa académica y casos especiales?,"Realizar seguimiento, asesoría, orientación y referenciación a estudiantes de la ECEI en normativa académica, USAPI, estudiantes con intención de retiro, quienes reprueben asignaturas y solicitudes especiales.",
¿Qué hace la Coordinadora Académica Liliana Castro con las solicitudes de retiro y traslado?,Recibir y dar trámite a las solicitudes de retiro y traslado.,
¿Cómo maneja la Coordinadora Académica Liliana Castro la documentación de procesos disciplinarios?,"Elaborar, diligenciar y generar la documentación necesaria para dar soporte y trámite a los procesos disciplinarios.",
¿Qué coordina la Coordinadora Académica Liliana Castro en cuanto a tutorías y supletorios?,"Realizar la coordinación de tutorías y supletorios de la ECEI y departamento de matemáticas: creación de franjas, seguimiento asistencia de docentes a tutoría, control de tutorías para nómina, orientación a docentes y estudiantes para registro y solicitud de tutorías.",
¿Qué talleres realiza la Coordinadora Académica Liliana Castro relacionados con la actitud matemática?,"Realizar talleres de actitud matemática donde se abordan temas relacionados con psicología del aprendizaje, técnicas de estudio, actitud y aprendizaje, preparación mental para la presentación de exámenes, inteligencia emocional, inteligencias múltiples, atención, motivación, memoria, entre otros.",
¿Qué seguimiento realiza la Coordinadora Académica Liliana Castro en el proceso de matrícula?,"Acompañar el seguimiento de aspirantes entrevistados y estudiantes para el proceso de matrícula, estableciendo contacto y orientación en fechas establecidas.",
¿Cómo gestiona la Coordinadora Académica Liliana Castro los indicadores de admisión?,Llevar un seguimiento de los indicadores en los procesos de admisión a los programas académicos.,
¿Qué apoyo brinda la Coordinadora Académica Liliana Castro en la coordinación de monitores?,"Apoyar la coordinación de monitores en entrevistas para la selección de monitores, comunicación con decanatura para los procesos de pago de incentivos, análisis y evaluación de monitores para informe de desempeño, apoyo a talleres libres para estudiantes del departamento y establecimiento de monitores para estudiantes del programa que así lo requieran.",
¿Qué convocatorias gestiona la Coordinadora Académica Liliana Castro?,Lanzar convocatorias para reclutamiento de talento humano de acuerdo con los lineamientos de la Dirección y Decanatura.,
¿Qué documentos redacta la Coordinadora Académica Liliana Castro según instrucciones de la Dirección?,Redactar memorandos y llamados de atención de acuerdo con instrucciones de la Dirección o Decanatura de la Escuela.,
¿Cómo maneja la Coordinadora Académica Liliana Castro las solicitudes de certificados?,Recibir y dar trámite a las solicitudes de certificados por parte de la planta docente y administrativa.,
¿Qué debe consolidar y enviar la Coordinadora Académica Liliana Castro para los docentes?,"Consolidar y enviar el kit de Bienvenida Docente, según el programa académico.",
¿Cómo gestiona la Coordinadora Académica Liliana Castro el repositorio estadístico?,"Gestionar el repositorio estadístico de indicadores de calidad, Delphos, notas, reporte semestral docente, SABER PRO y visitas a salones.",
¿Qué asesoría facilita la Coordinadora Académica Liliana Castro a los egresados?,"Facilitar la asesoría profesional a los egresados para búsqueda, actualización, cambio de carrera y desarrollo de habilidades.",
¿Qué reportes debe hacer la Coordinadora Académica Liliana Castro al área de talento humano?,"Reportar al área de talento humano la continuidad y no continuidad del personal, según las instrucciones de la dirección y decanatura.",
¿Qué verifica y hace seguimiento la Coordinadora Académica Liliana Castro en cuanto a contenidos programáticos?,Verificar y hacer seguimiento al cargue de contenidos programáticos y asistencia.,
¿Cómo mantiene la Coordinadora Académica Liliana Castro actualizadas las aulas virtuales?,Mantener actualizadas las aulas virtuales en función de los procesos de enseñanza de la Escuela.,
¿Qué función tiene la Coordinadora Académica Heyly Castelblanco en las entrevistas?,Apoyar las entrevistas cuando el Director no pueda llevar a cabo estas.,
¿Cómo gestiona la Coordinadora Académica Heyly Castelblanco los indicadores de opciones de grado?,Gestionar indicadores de opciones de grado.,
¿Qué debe hacer la Coordinadora Académica Heyly Castelblanco respecto a los derechos de petición?,Dar respuesta a los derechos de petición en los tiempos de ley y con el respectivo soporte.,
¿Qué función tiene la Coordinadora Académica Heyly Castelblanco en la revisión de expedientes de grado?,Aprobar y revisar el expediente de grado conforme a la vertical académica del estudiante.,
¿Cómo maneja la Coordinadora Académica Heyly Castelblanco los estudios de homologación?,Realizar los estudios de homologación y el diligenciamiento de la respectiva documentación para su formalización ante la secretaria de la institución.,
¿Qué permisos gestiona la Coordinadora Académica Heyly Castelblanco?,Gestionar permisos especiales de inscripción y retiro de materias.,
¿Qué proceso de egresados activa la Coordinadora Académica Heyly Castelblanco?,"Activar y gestionar el proceso de ""Marcación como futuro egresado"".",
¿Qué instrumentos lanza la Coordinadora Académica Heyly Castelblanco durante el semestre?,Lanzar los instrumentos de medición y calidad en el intermedio y final del semestre.,
¿Cómo gestiona la Coordinadora Académica Heyly Castelblanco la información de indicadores de calidad?,"Consolidar y cargar la información a la base de datos de indicadores para seguimiento de gestión de calidad. Docentes, estudiantes y administrativos.",
¿Qué programación realiza la Coordinadora Académica Heyly Castelblanco?,Realizar la programación académica correspondiente a la oferta. Cronograma y asignación docente de acuerdo con directriz de la dirección.,
¿Cómo maneja la Coordinadora Académica Heyly Castelblanco las PQR?,Gestionar la atención a las PQR.,
¿Qué soporte brinda la Coordinadora Académica Heyly Castelblanco en auditorías?,Soportar los procesos de auditoría interna y externa de las unidades académicas.,
¿Qué gestiona la Coordinadora Académica Heyly Castelblanco respecto a cambios de plan de estudios?,Gestionar y soportar cambios de plan de estudios en vertical SAP.,
¿Cómo trabaja la Coordinadora Académica Heyly Castelblanco con los Directores?,Trabajar y articular con los Directores las necesidades y pertinencia de las ofertas académicas.,
¿Cuándo se puede visitar el Observatorio Astronómico?,El Observatorio astronómico de la Universidad Sergio Arboleda tiene diferentes actividades para visitar como son: tertulias aeroespaciales y jueves de observación,
¿Cómo me Inscribo para el Jueves de Observación?,"Para ingresar a todas nuestras actividades debes registrarte a cada uno de los eventos que quieras asistir, los links de registro los encontraras en la página web de la Universidad Sergio Arboleda apartado observatorio astronómico o en nuestras redes sociales ""Observatorio Astronómico Universidad Sergio Arboleda"" en Facebook o en Instagram como la @lasergioescosmos",
¿Qué otras Actividades se realizan en el Observatorio Astronómico?,"El Observatorio astronómico de la Universidad Sergio Arboleda tiene varias actividades de acceso gratuito, como son nuestras tertulias aeroespaciales las cuales se realizan los días martes, lo mismo que nuestros conocidos jueves de observación que como su nombre lo indican se realizan todos los jueves del año.",
¿Como reservar el Planetario del Observatorio Astronómico?,"Para reservar los espacios del observatorio astronómico ""temas académicos"" Cúpula y planetario debes dirigirte al piso 10 de la torre F donde encontraras las oficinas, allí podrás hacer la reserva con el equipo del observatorio astronómico.",
¿Como reservar la Cúpula del Observatorio Astronómico?,"Para reservar los espacios del observatorio astronómico ""temas académicos"" Cúpula y planetario debes dirigirte al piso 10 de la torre F donde encontraras las oficinas, allí podrás hacer la reserva con el equipo del observatorio astronómico.",
¿Dónde Encuentro la Agenda de Actividades del Observatorio Astronómico?,La Agenda de actividades la puedes encontrar en la página web de la Universidad Sergio Arboleda apartado Observatorio Astronómico o en nuestras redes sociales en Facebook Observatorio Astronómico Universidad Sergio Arboleda o en Instagram @lasergioescosmos,
¿Donde se encuentra ubicado el Observatorio Astronómico?,El Observatorio Astronómico se encuentra en la Torre F piso 10,
¿Que debo hacer para asistir a las actividades del Observatorio Astronómico?,Para asistir a las distintas actividades del Observatorio astronómico debes registrarte a cada una de nuestras actividades a través de la página web de la Universidad Sergio Arboleda apartado Observatorio Astronómico o en nuestras redes sociales en Facebook Observatorio Astronomico Universidad Sergio Arboleda o en Instagram @lasergioescosmos,
¿Cómo puedo rastrear el Satélite Libertad 1?,"Puedes rastrear el primer satélite de Colombia a traves de los siguientes links
colocando libertad 1 
https://sky.rogue.space/
https://www.n2yo.com/",
¿Qué cursos de astronomía dicta el observatorio astronómico?,"El observatorio astronómico cuenta con dos cursos básicos de astronómia como son el curso Vega de astronomía básica y el curso ""Mi universo desde mi planeta azul"" para niños de los 9 a 13 años, para más información por favor acercarse al Observatorio Astronómico Torre F piso 10",
¿Cuándo se puede visitar el Observatorio Astronómico?,El Observatorio astronómico de la Universidad Sergio Arboleda tiene diferentes actividades para visitar como son: tertulias aeroespaciales y jueves de observación,
¿Cómo me Inscribo para el Jueves de Observación?,"Para ingresar a todas nuestras actividades debes registrarte a cada uno de los eventos que quieras asistir, los links de registro los encontraras en la página web de la Universidad Sergio Arboleda apartado observatorio astronómico o en nuestras redes sociales ""Observatorio Astronómico Universidad Sergio Arboleda"" en Facebook o en Instagram como la @lasergioescosmos",
¿Qué otras Actividades se realizan en el Observatorio Astronómico?,"El Observatorio astronómico de la Universidad Sergio Arboleda tiene varias actividades de acceso gratuito, como son nuestras tertulias aeroespaciales las cuales se realizan los días martes, lo mismo que nuestros conocidos jueves de observación que como su nombre lo indican se realizan todos los jueves del año.",
¿Como reservar el Planetario del Observatorio Astronómico?,"Para reservar los espacios del observatorio astronómico ""temas académicos"" Cúpula y planetario debes dirigirte al piso 10 de la torre F donde encontraras las oficinas, allí podrás hacer la reserva con el equipo del observatorio astronómico.",
¿Como reservar la Cúpula del Observatorio Astronómico?,"Para reservar los espacios del observatorio astronómico ""temas académicos"" Cúpula y planetario debes dirigirte al piso 10 de la torre F donde encontraras las oficinas, allí podrás hacer la reserva con el equipo del observatorio astronómico.",
¿Dónde Encuentro la Agenda de Actividades del Observatorio Astronómico?,La Agenda de actividades la puedes encontrar en la página web de la Universidad Sergio Arboleda apartado Observatorio Astronómico o en nuestras redes sociales en Facebook Observatorio Astronómico Universidad Sergio Arboleda o en Instagram @lasergioescosmos,
¿Donde se encuentra ubicado el Observatorio Astronómico?,El Observatorio Astronómico se encuentra en la Torre F piso 10,
¿Que debo hacer para asistir a las actividades del Observatorio Astronómico?,Para asistir a las distintas actividades del Observatorio astronómico debes registrarte a cada una de nuestras actividades a través de la página web de la Universidad Sergio Arboleda apartado Observatorio Astronómico o en nuestras redes sociales en Facebook Observatorio Astronomico Universidad Sergio Arboleda o en Instagram @lasergioescosmos,
¿Cómo puedo rastrear el Satélite Libertad 1?,"Puedes rastrear el primer satélite de Colombia a traves de los siguientes links
colocando libertad 1 
https://sky.rogue.space/
https://www.n2yo.com/",
¿Qué cursos de astronomía dicta el observatorio astronómico?,"El observatorio astronómico cuenta con dos cursos básicos de astronómia como son el curso Vega de astronomía básica y el curso ""Mi universo desde mi planeta azul"" para niños de los 9 a 13 años, para más información por favor acercarse al Observatorio Astronómico Torre F piso 10",
¿Cuándo puedo aplicar a grados?,"Para iniciar tu proceso de graduación, debes tener en cuenta los requisitos académicos. El primero, debes haber finalizado todos los créditos de tu malla curricular. El segundo, debes aplicar al proceso de egresado no graduado, para legalizar tu vertical académico. ",
¿Necesito por favor levantar un pre-requisito en una asignatura?,"Recuerda que los pre requisitos tienen un propósito en tu plan de estudios. Estos aseguran tu proceso de adquisición de competencias, y el flujo de tu proceso de aprendizaje. Esto garantiza que el momento en el que estás adquiriendo una competencia y un conocimiento nuevo sea el adecuado y propicio. Sin embargo, asegurando principio de favorabilidad de nuestros estudiantes puedes solicitar a tu Director estudiar levantar alguno. Por ejemplo, si es tu ultima asignatura por cursar, o si este pre requisito te implica un semestre más de estudios. ",
¿Cuándo puedo ir a práctica profesional?,"La práctica profesional es un momento único y relevante en tu proceso formativo. Es la oportunidad que tienes para seguir poniendo en práctica todo tu conocimiento, competencia y habilidades en las organizaciones de nuestro país. Recuerda que el requisito para acceder a ella fue flexibilizado con la última resolución. Cuando cumplas con el 85% de los créditos de tu plan de estudios puedes aplicar a la misma. Asegúrate de no tener materias pendientes del núcleo básico de carrera, y de no tener pendientes asignaturas de ciencias básicas o core humanista y económico-administrativo.   ",
¿Cuáles son las materias del core o núcleo humanista y económico-administrativo para Ingeniería Industrial?,"Las materias del core humanista y económico-administrativo del programa de ingeniería industrial son: Lectura y escritura académica I, Lectura y escritura académica II, Introducción a la economía, Organismos del estado colombiano, Cultura religiosa, Contabilidad general y de costos, Catedra Rodrigo Noguera Laborde. ",
¿Cuáles son las materias de ciencias básicas para Ingeniería Industrial?,"Las materias de ciencias básicas para el programa de ingeniería industrial son: Calculo diferencial, cálculo integral, física mecánica y laboratorio, álgebra lineal, física electromagnética y laboratorio, modelación matemática para ingeniería, termodinámica. ",
¿Cuáles son las materias del core o núcleo humanista y económico-administrativo para Ingeniería Ambiental?,"Las materias del core humanista y económico-administrativo del programa de ingeniería industrial son: Lectura y escritura académica I, Lectura y escritura académica II, Introducción a la economía, Cultura religiosa. ",
¿Cuáles son las materias de ciencias básicas para Ingeniería Ambiental?,"Las materias de ciencias básicas para el programa de ingeniería ambiental son: Calculo diferencial, química y laboratorio, Biología y laboratorio, cálculo integral, física mecánica y laboratorio, álgebra lineal aplicada, bioquímica ambiental, modelación matemática para ingeniería, termodinámica y ondas, métodos numéricos y herramientas computacionales. ",
¿Cuáles son las materias del core o núcleo humanista y económico-administrativo para ciencias de la computación?,"Las materias del core humanista y económico-administrativo del programa de ciencias de la computación son: Lectura y escritura académica I, Lectura y escritura académica II, Organización del estado colombiano, catedra Rodrigo Noguera Laborde, Cultura religiosa.",
¿Cuáles son las materias del core o núcleo humanista y económico-administrativo para ingeniería electrónica?,"Las materias del core humanista y económico-administrativo del programa de ingeniería electrónica son: Lectura y escritura académica I, Lectura y escritura académica II, Organismos del estado colombiano, catedra Rodrigo Noguera Laborde, Cultura religiosa, ingeniería económica.",
¿Cuáles son las materias de ciencias básicas para Ingeniería Electrónica?,"Las materias de ciencias básicas para el programa de ingeniería electrónica son: Calculo diferencial, cálculo integral, física mecánica y laboratorio, física electromagnética y laboratorio, álgebra lineal aplicada, cálculo vectorial y multivariable, fluidos y termodinámica, variable compleja, ondas y campos EM, calculo vectorial y multivariable. ",
¿Cuáles son las materias de ciencias básicas para Ciencias de la Computación?,"Las materias de ciencias básicas para el programa de ciencias de la computación son: Calculo diferencial, cálculo integral, física mecánica y laboratorio, álgebra lineal aplicada, física electromagnética y laboratorio, modelación matemática para ingeniería.",
a donde debo enviar un correo para inscribir una materia de otro programa como electiva dentro de la escuela o cual es el proceso,"enviar un correo a ecei@usa.edu.co, realizando la solicitud de la inscripcion de la asignatura con el respectivo codigo numero de cedula y programa al cual pertenece usted ",
con quien me debo comunicar si quiero realizar las practicas empresariales,con la coordinacion de practicas egresados y medio al correo preacticas.ecei@usa.edu.co,
si deseo tener una reunion con la direccion del programa cual es el paso a paso ,buscar el horario establecido a atencion a estudiantes por parte de la direccion del programa,
cual es el proceso que se debe hacer para acceder a hacer un segundo programa,"1. ir a admisiones y registro
2. revisar con ellos cual es el segundo programa que quiere cursar
3. admisiones realiza la cita para la entrevistar
4.se pide contenido programaticos y certificado de notas para la respectiva homologacion
5. se envia la propuesta de homologacion
6. generacion de desprendible de pago",
que debo hacer si tengo un bloqueo por documentos,"llamar a la extencion 2158, 2435
enviar un correo a ecei@usa.edu.co solicitando la informacion sobre el bloqueo",
cuales son los requisitos para poder hacer practicas,"Industrial: es obligatoria la practica y deben tener el 85% de los creditos aprovados, no deben estar debiendo materias de ciencias basicas o aplicadas
CCIA: la practica es una de las opciones de grado, para tener hacer practica deben tener el 88% de los creditos aprovados, no deben estar debiendo materias de ciencias basicas o aplicadas
Electronica: la practica es una de las opciones de grado, para tener hacer practica deben tener el 85% de los creditos aprovados, no deben estar debiendo materias de ciencias basicas o aplicadas
ambiental: si los estudiantes desean ver las practicas lo pueden hacer pero no es opcion de grado
matematicas: si los estudiantes desean ver las practicas lo pueden hacer pero no es opcion de grado, adicionalmente deben realizar una sustentacion frente al coloquio de Matemáticas",
cual es el correo de la escuela,ecei@usa.edu.co,
cuales son las lineas de optativas de ciencias,"La de HCP
Ciencia de datos
Sistemas Inteligentes
Seguridad de la informacion",
cuales son las lineas de optativas de electronica,"telecomunicaciones
Energia
Automatizacion y control
IoT
maquinas inteligentes
bioingenieria",
cuales son los eventos que hace la escuela por semestre,"DATAFEST, HACKATON, MARATON de programación",
¿Cómo solicitar el levantamiento de un prerrequisito?  ,"Debes enviar una carta radicada a la dirección del programa o a la coordinación académica de la Escuela, mencionando tus datos personales (nombre completo y número de cédula), el código de la asignatura a levantar el prerrequisito y el motivo por el cual lo solicitas. La ECEI tendrá tres días hábiles para evaluar el caso e indicarte si se levanta o no el prerrequisito solicitado.  ",
¿Cuál es el prerrequisito para ver la primera Optativa y/o Electiva profesional del programa de Ingeniería Ambiental?  ,   Para iniciar a ver las Optativas y las Electivas profesionales debes haber cursado y aprobado como mínimo el 50% de los créditos del programa.   ,
¿Cómo debo realizar la inscripción de la práctica profesional en el programa de Ingeniería Ambiental?  ,"   Recuerda que, si eliges hacer la práctica profesional, debes inscribir los módulos de “Electiva de libre elección”, “Electiva de emprendimiento” y “Electiva profesional 3”, las cuales se homologarán por el proceso de la práctica profesional.   ",
